original_title,budget,release_date,revenue,runtime,vote_average,vote_count,cast,director,Action,Adventure,Fantasy,Science_Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV,overview
The Scorpion King,60000000.0,2002-04-16,165333180.0,92.0,5.3,779,"['Dwayne', 'Johnson', 'Kelly', 'Hu', 'Michael', 'Clarke', 'Duncan', 'Steven', 'Brand', 'Bernard', 'Hill']",Chuck Russell,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['in', 'ancient', 'egypt', 'peasant', 'mathayus', 'is', 'hired', 'to', 'exact', 'revenge', 'on', 'the', 'powerful', 'memnon', 'and', 'the', 'sorceress', 'cassandra', 'who', 'are', 'ready', 'to', 'overtake', 'balthazar', 's', 'village', 'amid', 'betrayal', 'thief', 'abduction', 'and', 'more', 'mathayus', 'strives', 'to', 'bring', 'justice', 'to', 'his', 'complicated', 'world']"
Ladder 49,60000000.0,2004-10-01,74541707.0,115.0,6.2,207,"['Joaquin', 'Phoenix', 'John', 'Travolta', 'Jacinda', 'Barrett', 'Robert', 'Patrick', 'Morris', 'Chestnut']",Jay Russell,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['under', 'the', 'watchful', 'eye', 'of', 'his', 'mentor', 'captain', 'mike', 'kennedy', 'probationary', 'firefighter', 'jack', 'morrison', 'matures', 'into', 'a', 'seasoned', 'veteran', 'at', 'a', 'baltimore', 'fire', 'station', 'however', 'jack', 'ha', 'reached', 'a', 'crossroad', 'a', 'the', 'sacrifice', 'he', 's', 'made', 'have', 'put', 'him', 'in', 'harm', 's', 'way', 'innumerable', 'time', 'and', 'significantly', 'impacted', 'his', 'relationship', 'with', 'his', 'wife', 'and', 'kid']"
Jack Reacher,60000000.0,2012-12-20,218340595.0,130.0,6.3,2998,"['Tom', 'Cruise', 'Rosamund', 'Pike', 'Richard', 'Jenkins', 'David', 'Oyelowo', 'Werner', 'Herzog']",Christopher McQuarrie,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['in', 'an', 'innocent', 'heartland', 'city', 'five', 'are', 'shot', 'dead', 'by', 'an', 'expert', 'sniper', 'the', 'police', 'quickly', 'identify', 'and', 'arrest', 'the', 'culprit', 'and', 'build', 'a', 'slam', 'dunk', 'case', 'but', 'the', 'accused', 'man', 'claim', 'he', 's', 'innocent', 'and', 'say', 'get', 'jack', 'reacher', 'reacher', 'himself', 'see', 'the', 'news', 'report', 'and', 'turn', 'up', 'in', 'the', 'city', 'the', 'defense', 'is', 'immensely', 'relieved', 'but', 'reacher', 'ha', 'come', 'to', 'bury', 'the', 'guy', 'shocked', 'at', 'the', 'accused', 's', 'request', 'reacher', 'set', 'out', 'to', 'confirm', 'for', 'himself', 'the', 'absolute', 'certainty', 'of', 'the', 'man', 's', 'guilt', 'but', 'come', 'up', 'with', 'more', 'than', 'he', 'bargained', 'for']"
Deep Blue Sea,60000000.0,1999-07-28,73648228.0,105.0,5.6,604,"['Thomas', 'Jane', 'Saffron', 'Burrows', 'LL', 'Cool', 'J', 'Michael', 'Rapaport', 'Samuel', 'L', 'Jackson']",Renny Harlin,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['on', 'a', 'remote', 'former', 'submarine', 'refueling', 'facility', 'called', 'aquatica', 'a', 'team', 'of', 'scientist', 'are', 'searching', 'for', 'a', 'cure', 'for', 'alzheimer', 's', 'disease', 'dr', 'susan', 'mcalester', 'genetically', 'engineer', 'three', 'mako', 'shark', 'intending', 'to', 'increase', 'their', 'brain', 'capacity', 'so', 'that', 'they', 'can', 'harvest', 'the', 'tissue', 'a', 'a', 'cure', 'for', 'alzheimer', 's', 'unfortunately', 'the', 'increased', 'brain', 'capacity', 'also', 'make', 'the', 'shark', 'smarter', 'faster', 'and', 'more', 'dangerous', 'aquatica', 's', 'financial', 'backer', 'are', 'skeptical', 'and', 'nervous', 'about', 'the', 'test', 'and', 'send', 'a', 'corporate', 'executive', 'to', 'visit', 'the', 'facility']"
Michael Jackson's This Is It,60000000.0,2009-10-28,120640826.67822856,111.0,6.7,247,"['Michael', 'Jackson', 'Orianthi', 'Kenny', 'Ortega', 'Dorian', 'Holley', 'Patrick', 'Woodroffe']",Kenny Ortega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"['a', 'compilation', 'of', 'interview', 'rehearsal', 'and', 'backstage', 'footage', 'of', 'michael', 'jackson', 'a', 'he', 'prepared', 'for', 'his', 'series', 'of', 'sold', 'out', 'show', 'in', 'london']"
Contagion,60000000.0,2011-09-08,137551594.0,106.0,6.2,1325,"['Matt', 'Damon', 'Gwyneth', 'Paltrow', 'Kate', 'Winslet', 'Jude', 'Law', 'Marion', 'Cotillard']",Steven Soderbergh,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'an', 'epidemic', 'of', 'a', 'lethal', 'airborne', 'virus', 'that', 'kill', 'within', 'day', 'rapidly', 'grows', 'the', 'worldwide', 'medical', 'community', 'race', 'to', 'find', 'a', 'cure', 'and', 'control', 'the', 'panic', 'that', 'spread', 'faster', 'than', 'the', 'virus', 'itself']"
Kangaroo Jack,38341022.03780454,2003-01-17,120640826.67822856,89.0,4.3,203,"['Jerry', 'OConnell', 'Anthony', 'Anderson', 'Estella', 'Warren', 'Christopher', 'Walken', 'Michael', 'Shannon']",David McNally,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['two', 'childhood', 'friend', 'a', 'new', 'york', 'hairstylist', 'and', 'a', 'wanna', 'be', 'musician', 'get', 'mixed', 'up', 'with', 'the', 'mob', 'and', 'are', 'forced', 'to', 'deliver', '50', '000', 'to', 'australia', 'but', 'thing', 'go', 'all', 'wrong', 'when', 'the', 'money', 'is', 'lost', 'to', 'a', 'wild', 'kangaroo']"
Coraline,60000000.0,2009-02-05,124596398.0,100.0,7.3,1386,"['Dakota', 'Fanning', 'Teri', 'Hatcher', 'Jennifer', 'Saunders', 'Dawn', 'French', 'Keith', 'David']",Henry Selick,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"['when', 'coraline', 'move', 'to', 'an', 'old', 'house', 'she', 'feel', 'bored', 'and', 'neglected', 'by', 'her', 'parent', 'she', 'find', 'a', 'hidden', 'door', 'with', 'a', 'bricked', 'up', 'passage', 'during', 'the', 'night', 'she', 'cross', 'the', 'passage', 'and', 'find', 'a', 'parallel', 'world', 'where', 'everybody', 'ha', 'button', 'instead', 'of', 'eye', 'with', 'caring', 'parent', 'and', 'all', 'her', 'dream', 'coming', 'true', 'when', 'the', 'other', 'mother', 'invite', 'coraline', 'to', 'stay', 'in', 'her', 'world', 'forever', 'the', 'girl', 'refuse', 'and', 'find', 'that', 'the', 'alternate', 'reality', 'where', 'she', 'is', 'trapped', 'is', 'only', 'a', 'trick', 'to', 'lure', 'her']"
The Happening,60000000.0,2008-06-11,163403799.0,91.0,4.9,950,"['Mark', 'Wahlberg', 'Zooey', 'Deschanel', 'John', 'Leguizamo', 'Spencer', 'Breslin', 'Betty', 'Buckley']",M. Night Shyamalan,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['when', 'a', 'deadly', 'airborne', 'virus', 'threatens', 'to', 'wipe', 'out', 'the', 'northeastern', 'united', 'state', 'teacher', 'elliott', 'moore', 'mark', 'wahlberg', 'and', 'his', 'wife', 'zooey', 'deschanel', 'flee', 'from', 'contaminated', 'city', 'into', 'the', 'countryside', 'in', 'a', 'fight', 'to', 'discover', 'the', 'truth', 'is', 'it', 'terrorism', 'the', 'accidental', 'release', 'of', 'some', 'toxic', 'military', 'bio', 'weapon', 'or', 'something', 'even', 'more', 'sinister', 'john', 'leguizamo', 'and', 'betty', 'buckley', 'co', 'star', 'in', 'this', 'thriller', 'from', 'writer', 'director', 'm', 'night', 'shyamalan']"
Man on Fire,70000000.0,2004-04-23,130293714.0,146.0,7.3,1553,"['Denzel', 'Washington', 'Dakota', 'Fanning', 'Marc', 'Anthony', 'Radha', 'Mitchell', 'Christopher', 'Walken']",Tony Scott,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jaded', 'ex', 'cia', 'operative', 'john', 'creasy', 'reluctantly', 'accepts', 'a', 'job', 'a', 'the', 'bodyguard', 'for', 'a', '10', 'year', 'old', 'girl', 'in', 'mexico', 'city', 'they', 'clash', 'at', 'first', 'but', 'eventually', 'bond', 'and', 'when', 'she', 's', 'kidnapped', 'he', 's', 'consumed', 'by', 'fury', 'and', 'will', 'stop', 'at', 'nothing', 'to', 'save', 'her', 'life']"
The Shaggy Dog,50000000.0,2006-03-09,61112916.0,98.0,4.5,137,"['Tim', 'Allen', 'Kristin', 'Davis', 'Danny', 'Glover', 'Spencer', 'Breslin', 'Robert', 'Downey', 'Jr']",Brian Robbins,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"['the', 'tale', 'of', 'a', 'workaholic', 'dad', 'turned', 'dog', 'who', 'find', 'that', 'being', 'man', 's', 'best', 'friend', 'show', 'him', 'the', 'most', 'important', 'job', 'being', 'a', 'great', 'dad']"
Starsky & Hutch,60000000.0,2004-03-05,170268750.0,101.0,5.6,644,"['Ben', 'Stiller', 'Owen', 'Wilson', 'Snoop', 'Dogg', 'Fred', 'Williamson', 'Vince', 'Vaughn']",Todd Phillips,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['join', 'uptight', 'david', 'starsky', 'and', 'laid', 'back', 'ken', 'hutch', 'hutchinson', 'a', 'they', 're', 'paired', 'for', 'the', 'first', 'time', 'a', 'undercover', 'cop', 'the', 'new', 'partner', 'must', 'overcome', 'their', 'difference', 'to', 'solve', 'an', 'important', 'case', 'with', 'help', 'from', 'street', 'informant', 'huggy', 'bear', 'and', 'persuasive', 'criminal', 'reese', 'feldman']"
Jingle All the Way,60000000.0,1996-11-15,129832389.0,89.0,5.5,575,"['Arnold', 'Schwarzenegger', 'Phil', 'Hartman', 'Sinbad', 'Rita', 'Wilson', 'Jake', 'Lloyd']",Brian Levant,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"['meet', 'howard', 'langston', 'a', 'salesman', 'for', 'a', 'mattress', 'company', 'is', 'constantly', 'busy', 'at', 'his', 'job', 'and', 'he', 'also', 'constantly', 'disappoints', 'his', 'son', 'after', 'he', 'miss', 'his', 'son', 's', 'karate', 'exposition', 'his', 'son', 'tell', 'howard', 'that', 'he', 'want', 'for', 'christmas', 'is', 'an', 'action', 'figure', 'of', 'his', 'son', 's', 'television', 'hero', 'he', 'try', 'hard', 'to', 'to', 'make', 'it', 'up', 'to', 'him', 'unfortunately', 'for', 'howard', 'it', 'is', 'christmas', 'eve', 'and', 'every', 'store', 'is', 'sold', 'out', 'of', 'turbo', 'man', 'now', 'howard', 'must', 'travel', 'all', 'over', 'town', 'and', 'compete', 'with', 'everybody', 'else', 'to', 'find', 'a', 'turbo', 'man', 'action', 'figure']"
Hellboy,66000000.0,2004-04-02,99318987.0,122.0,6.5,2225,"['Ron', 'Perlman', 'Selma', 'Blair', 'Rupert', 'Evans', 'John', 'Hurt', 'Jeffrey', 'Tambor']",Guillermo del Toro,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['in', 'the', 'final', 'day', 'of', 'world', 'war', 'ii', 'the', 'nazi', 'attempt', 'to', 'use', 'black', 'magic', 'to', 'aid', 'their', 'dying', 'cause', 'the', 'ally', 'raid', 'the', 'camp', 'where', 'the', 'ceremony', 'is', 'taking', 'place', 'but', 'not', 'before', 'a', 'demon', 'hellboy', 'ha', 'already', 'been', 'conjured', 'joining', 'the', 'allied', 'force', 'hellboy', 'eventually', 'grows', 'to', 'adulthood', 'serving', 'the', 'cause', 'of', 'good', 'rather', 'than', 'evil']"
A Civil Action,70000000.0,1998-03-05,56702901.0,115.0,6.1,109,"['John', 'Travolta', 'Robert', 'Duvall', 'Tony', 'Shalhoub', 'William', 'H', 'Macy', 'Zeljko', 'Ivanek']",Steven Zaillian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jan', 'schlickmann', 'is', 'a', 'cynical', 'lawyer', 'who', 'go', 'out', 'to', 'get', 'rid', 'of', 'a', 'case', 'only', 'to', 'find', 'out', 'it', 'is', 'potentially', 'worth', 'million', 'the', 'case', 'becomes', 'his', 'obsession', 'to', 'the', 'extent', 'that', 'he', 'is', 'willing', 'to', 'give', 'up', 'everything', 'including', 'his', 'career', 'and', 'his', 'client', 'goal', 'in', 'order', 'to', 'continue', 'the', 'case', 'against', 'all', 'odds']"
ParaNorman,60000000.0,2012-08-03,107139399.0,90.0,6.7,789,"['Kodi', 'SmitMcPhee', 'Tucker', 'Albrizzi', 'Jodelle', 'Ferland', 'Anna', 'Kendrick', 'Casey', 'Affleck']",Sam Fell,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"['in', 'the', 'town', 'of', 'blithe', 'hollow', 'norman', 'babcock', 'is', 'a', 'boy', 'who', 'can', 'speak', 'to', 'the', 'dead', 'but', 'no', 'one', 'besides', 'his', 'eccentric', 'new', 'friend', 'neil', 'belief', 'his', 'ability', 'is', 'real', 'one', 'day', 'norman', 's', 'estranged', 'eccentric', 'uncle', 'tell', 'him', 'of', 'an', 'important', 'annual', 'ritual', 'he', 'must', 'take', 'up', 'to', 'protect', 'the', 'town', 'from', 'an', 'curse', 'cast', 'by', 'a', 'witch', 'it', 'condemned', 'century', 'ago', 'eventually', 'norman', 'decides', 'to', 'cooperate', 'but', 'thing', 'don', 't', 'go', 'according', 'to', 'plan', 'now', 'a', 'magic', 'storm', 'of', 'the', 'witch', 'threatens', 'blithe', 'hollow', 'a', 'the', 'accursed', 'dead', 'rise', 'together', 'with', 'unexpected', 'new', 'companion', 'norman', 'struggle', 'to', 'save', 'his', 'town', 'only', 'to', 'discover', 'the', 'horrific', 'truth', 'of', 'the', 'curse', 'with', 'that', 'insight', 'norman', 'must', 'resolve', 'the', 'crisis', 'for', 'good', 'a', 'only', 'he', 'can']"
The Jackal,60000000.0,1997-11-14,159330280.0,124.0,6.1,527,"['Bruce', 'Willis', 'Richard', 'Gere', 'Sidney', 'Poitier', 'Diane', 'Venora', 'JK', 'Simmons']",Michael Caton-Jones,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['hired', 'by', 'a', 'powerful', 'member', 'of', 'the', 'russian', 'mafia', 'to', 'avenge', 'an', 'fbi', 'sting', 'that', 'left', 'his', 'brother', 'dead', 'the', 'perfectionist', 'jackal', 'prof', 'an', 'elusive', 'target', 'for', 'the', 'men', 'charged', 'with', 'the', 'task', 'of', 'bringing', 'him', 'down', 'a', 'deputy', 'fbi', 'bos', 'and', 'a', 'former', 'ira', 'terrorist']"
Paycheck,60000000.0,2003-12-25,96269812.0,119.0,5.9,581,"['Ben', 'Affleck', 'Aaron', 'Eckhart', 'Uma', 'Thurman', 'Paul', 'Giamatti', 'Colm', 'Feore']",John Woo,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"['michael', 'jennings', 'is', 'a', 'genius', 'who', 's', 'hired', 'and', 'paid', 'handsomely', 'by', 'high', 'tech', 'firm', 'to', 'work', 'on', 'highly', 'sensitive', 'project', 'after', 'which', 'his', 'short', 'term', 'memory', 'is', 'erased', 'so', 'he', 's', 'incapable', 'of', 'breaching', 'security', 'but', 'at', 'the', 'end', 'of', 'a', 'three', 'year', 'job', 'he', 's', 'told', 'he', 'isn', 't', 'getting', 'a', 'paycheck', 'and', 'instead', 'receives', 'a', 'mysterious', 'envelope', 'in', 'it', 'are', 'clue', 'he', 'must', 'piece', 'together', 'to', 'find', 'out', 'why', 'he', 'wasn', 't', 'paid', 'and', 'why', 'he', 's', 'now', 'in', 'hot', 'water']"
Up Close & Personal,60000000.0,1996-03-01,120640826.67822856,119.0,5.9,50,"['Robert', 'Redford', 'Michelle', 'Pfeiffer', 'Stockard', 'Channing', 'Joe', 'Mantegna', 'Kate', 'Nelligan']",Jon Avnet,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['tally', 'atwater', 'ha', 'a', 'dream', 'to', 'be', 'a', 'prime', 'time', 'network', 'newscaster', 'she', 'pursues', 'this', 'dream', 'with', 'nothing', 'but', 'ambition', 'raw', 'talent', 'and', 'a', 'homemade', 'demo', 'tape', 'warren', 'justice', 'is', 'a', 'brilliant', 'hard', 'edged', 'veteran', 'newsman', 'he', 'see', 'tally', 'ha', 'talent', 'and', 'becomes', 'her', 'mentor', 'tally', 's', 'career', 'take', 'a', 'meteoric', 'rise', 'and', 'she', 'and', 'warren', 'fall', 'in', 'love', 'the', 'romance', 'that', 'result', 'is', 'a', 'intense', 'and', 'revealing', 'a', 'television', 'news', 'itself', 'yet', 'each', 'breaking', 'story', 'every', 'videotaped', 'crisis', 'that', 'brings', 'them', 'together', 'also', 'threatens', 'to', 'drive', 'them', 'apart']"
The Tale of Despereaux,60000000.0,2008-12-19,50877145.0,93.0,5.8,258,"['Matthew', 'Broderick', 'Dustin', 'Hoffman', 'Emma', 'Watson', 'Tracey', 'Ullman', 'Kevin', 'Kline']",Robert Stevenhagen,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"['once', 'upon', 'a', 'time', 'in', 'the', 'far', 'away', 'kingdom', 'of', 'dor', 'lived', 'a', 'brave', 'and', 'virtuous', 'mouse', 'with', 'comically', 'oversized', 'ear', 'who', 'dreamt', 'of', 'becoming', 'a', 'knight', 'banished', 'from', 'his', 'home', 'for', 'having', 'such', 'lofty', 'ambition', 'despereaux', 'set', 'off', 'on', 'an', 'amazing', 'adventure', 'with', 'his', 'good', 'hearted', 'rat', 'friend', 'roscuro', 'who', 'lead', 'him', 'at', 'long', 'last', 'on', 'a', 'very', 'noble', 'quest', 'to', 'rescue', 'an', 'endangered', 'princess', 'and', 'save', 'an', 'entire', 'kingdom', 'from', 'darkness']"
The Tuxedo,38341022.03780454,2002-09-27,120640826.67822856,98.0,5.3,483,"['Jackie', 'Chan', 'Jennifer', 'Love', 'Hewitt', 'Jason', 'Isaacs', 'Debi', 'Mazar', 'Ritchie', 'Coster']",Kevin Donovan,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"['cabbie', 'turned', 'chauffeur', 'jimmy', 'tong', 'learns', 'there', 'is', 'really', 'only', 'one', 'rule', 'when', 'you', 'work', 'for', 'playboy', 'millionaire', 'clark', 'devlin', 'never', 'touch', 'devlin', 's', 'prized', 'tuxedo', 'but', 'when', 'devlin', 'is', 'temporarily', 'put', 'out', 'of', 'commission', 'in', 'an', 'explosive', 'accident', 'jimmy', 'put', 'on', 'the', 'tux', 'and', 'soon', 'discovers', 'that', 'this', 'extraordinary', 'suit', 'may', 'be', 'more', 'black', 'belt', 'than', 'black', 'tie', 'paired', 'with', 'a', 'partner', 'a', 'inexperienced', 'a', 'he', 'is', 'jimmy', 'becomes', 'an', 'unwitting', 'secret', 'agent']"
Under Siege 2: Dark Territory,60000000.0,1995-07-13,104324083.0,100.0,5.6,210,"['Steven', 'Seagal', 'Eric', 'Bogosian', 'Everett', 'McGill', 'Katherine', 'Heigl', 'Morris', 'Chestnut']",Geoff Murphy,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'passenger', 'train', 'ha', 'been', 'hijacked', 'by', 'an', 'electronics', 'expert', 'and', 'turned', 'into', 'an', 'untraceable', 'command', 'center', 'for', 'a', 'weapon', 'satellite', 'he', 'ha', 'planned', 'to', 'blow', 'up', 'washington', 'dc', 'and', 'only', 'one', 'man', 'can', 'stop', 'him', 'former', 'navy', 'seal', 'casey', 'ryback']"
Jack Ryan: Shadow Recruit,60000000.0,2014-01-15,50549107.0,105.0,5.9,1173,"['Chris', 'Pine', 'Keira', 'Knightley', 'Kevin', 'Costner', 'Kenneth', 'Branagh', 'Lenn', 'Kudrjawizki']",Kenneth Branagh,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jack', 'ryan', 'a', 'a', 'young', 'covert', 'cia', 'analyst', 'uncovers', 'a', 'russian', 'plot', 'to', 'crash', 'the', 'u', 's', 'economy', 'with', 'a', 'terrorist', 'attack']"
Joy,60000000.0,2015-12-24,101134059.0,124.0,6.4,1581,"['Jennifer', 'Lawrence', 'Bradley', 'Cooper', 'Robert', 'De', 'Niro', 'Dascha', 'Polanco', 'Edgar', 'Ramuedrez']",David O. Russell,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['a', 'story', 'based', 'on', 'the', 'life', 'of', 'a', 'struggling', 'long', 'island', 'single', 'mom', 'who', 'became', 'one', 'of', 'the', 'country', 's', 'most', 'successful', 'entrepreneur']"
London Has Fallen,60000000.0,2016-03-02,205754447.0,99.0,5.8,1621,"['Gerard', 'Butler', 'Aaron', 'Eckhart', 'Morgan', 'Freeman', 'Angela', 'Bassett', 'Melissa', 'Leo']",Babak Najafi,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['in', 'london', 'for', 'the', 'prime', 'minister', 's', 'funeral', 'mike', 'banning', 'discovers', 'a', 'plot', 'to', 'assassinate', 'all', 'the', 'attending', 'world', 'leader']"
Alien: Resurrection,70000000.0,1997-11-12,162000000.0,109.0,5.9,1365,"['Sigourney', 'Weaver', 'Winona', 'Ryder', 'Brad', 'Dourif', 'Ron', 'Perlman', 'Michael', 'Wincott']",Jean-Pierre Jeunet,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"['two', 'hundred', 'year', 'after', 'lt', 'ripley', 'died', 'a', 'group', 'of', 'scientist', 'clone', 'her', 'hoping', 'to', 'breed', 'the', 'ultimate', 'weapon', 'but', 'the', 'new', 'ripley', 'is', 'full', 'of', 'surprise', 'a', 'are', 'the', 'new', 'alien', 'ripley', 'must', 'team', 'with', 'a', 'band', 'of', 'smuggler', 'to', 'keep', 'the', 'creature', 'from', 'reaching', 'earth']"
Shooter,61000000.0,2007-03-22,95696996.0,124.0,6.9,1462,"['Mark', 'Wahlberg', 'Michael', 'Peufa', 'Danny', 'Glover', 'Kate', 'Mara', 'Elias', 'Koteas']",Antoine Fuqua,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"['a', 'marksman', 'living', 'in', 'exile', 'is', 'coaxed', 'back', 'into', 'action', 'after', 'learning', 'of', 'a', 'plot', 'to', 'kill', 'the', 'president', 'ultimately', 'double', 'crossed', 'and', 'framed', 'for', 'the', 'attempt', 'he', 'go', 'on', 'the', 'run', 'to', 'track', 'the', 'real', 'killer', 'and', 'find', 'out', 'who', 'exactly', 'set', 'him', 'up', 'and', 'why']"
The Boxtrolls,60000000.0,2014-09-10,108255770.0,97.0,6.6,668,"['Ben', 'Kingsley', 'Isaac', 'HempsteadWright', 'Elle', 'Fanning', 'Dee', 'Bradley', 'Baker', 'Toni', 'Collette']",Anthony Stacchi,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"['an', 'orphaned', 'boy', 'raised', 'by', 'underground', 'creature', 'called', 'boxtrolls', 'come', 'up', 'from', 'the', 'sewer', 'and', 'out', 'of', 'his', 'box', 'to', 'save', 'his', 'family', 'and', 'the', 'town', 'from', 'the', 'evil', 'exterminator', 'archibald', 'snatcher']"
Practical Magic,75000000.0,1998-10-16,46683377.0,104.0,6.3,338,"['Sandra', 'Bullock', 'Nicole', 'Kidman', 'Evan', 'Rachel', 'Wood', 'Goran', 'Visnjic', 'Stockard', 'Channing']",Griffin Dunne,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['sally', 'and', 'gillian', 'owen', 'born', 'into', 'a', 'magical', 'family', 'have', 'mostly', 'avoided', 'witchcraft', 'themselves', 'but', 'when', 'gillian', 's', 'vicious', 'boyfriend', 'jimmy', 'angelov', 'dy', 'unexpectedly', 'the', 'owen', 'sister', 'give', 'themselves', 'a', 'crash', 'course', 'in', 'hard', 'magic', 'with', 'policeman', 'gary', 'hallet', 'growing', 'suspicious', 'the', 'girl', 'struggle', 'to', 'resurrect', 'angelov', 'and', 'unwittingly', 'inject', 'his', 'corpse', 'with', 'an', 'evil', 'spirit', 'that', 'threatens', 'to', 'end', 'their', 'family', 'line']"
The Lego Movie,60000000.0,2014-02-06,469160692.0,100.0,7.5,3070,"['Chris', 'Pratt', 'Will', 'Ferrell', 'Elizabeth', 'Banks', 'Will', 'Arnett', 'Nick', 'Offerman']",Phil Lord,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"['an', 'ordinary', 'lego', 'mini', 'figure', 'mistakenly', 'thought', 'to', 'be', 'the', 'extraordinary', 'masterbuilder', 'is', 'recruited', 'to', 'join', 'a', 'quest', 'to', 'stop', 'an', 'evil', 'lego', 'tyrant', 'from', 'gluing', 'the', 'universe', 'together']"
Miss Congeniality 2: Armed and Fabulous,38341022.03780454,2005-03-11,120640826.67822856,115.0,5.3,425,"['Sandra', 'Bullock', 'Regina', 'King', 'Enrique', 'Murciano', 'William', 'Shatner', 'Eileen', 'Brennan']",John Pasquin,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['after', 'her', 'triumph', 'at', 'the', 'miss', 'united', 'state', 'pageant', 'fbi', 'agent', 'gracie', 'hart', 'becomes', 'an', 'overnight', 'sensation', 'and', 'the', 'new', 'face', 'of', 'the', 'fbi', 'but', 'it', 's', 'time', 'to', 'spring', 'into', 'action', 'again', 'when', 'the', 'pageant', 's', 'winner', 'cheryl', 'and', 'emcee', 'stan', 'are', 'abducted']"
Reign of Fire,60000000.0,2002-07-12,43061982.0,101.0,6.0,669,"['Christian', 'Bale', 'Matthew', 'McConaughey', 'Izabella', 'Scorupco', 'Gerard', 'Butler', 'Alexander', 'Siddig']",Rob Bowman,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['in', 'post', 'apocalyptic', 'england', 'an', 'american', 'volunteer', 'and', 'a', 'british', 'survivor', 'team', 'up', 'to', 'fight', 'off', 'a', 'brood', 'of', 'fire', 'breathing', 'dragon', 'seeking', 'to', 'return', 'to', 'global', 'dominance', 'after', 'century', 'of', 'rest', 'underground', 'the', 'brit', 'leading', 'a', 'clan', 'of', 'survivor', 'to', 'hunt', 'down', 'the', 'king', 'of', 'the', 'dragon', 'ha', 'much', 'at', 'stake', 'his', 'mother', 'wa', 'killed', 'by', 'a', 'dragon', 'but', 'his', 'love', 'is', 'still', 'alive']"
